"Live Css Editor","Live Css Editor"
"Theme: ","Theme: "
"Css Profiles: ","Css Profiles: "
"And Named This:","And Named This:"
"Rename This","Rename This"
"Css Selector: ","Css Selector: "
"Those Images in folder pub/pagebuilder/livecss/images/patterns/","Those Images in folder pub/pagebuilder/livecss/images/patterns/"
Inherit,Inherit
Clear,Clear
None,None
"Write your custom rules...","Write your custom rules..."
"Ves Pages Builder","Ves Pages Builder"
"General Settings (Pages Builder)","General Settings (Pages Builder)"
"Minify Html Output","Minify Html Output"
"Enabled Parallax Js","Enabled Parallax Js"
"Enabled Colorbox Popup JS","Enabled Colorbox Popup JS"
"Enabled Fancybox Popup JS","Enabled Fancybox Popup JS"
"Enabled Image Holder Js","Enabled Image Holder Js"
"Auto Backup Page Builder Profile","Auto Backup Page Builder Profile"
"Allow auto backup page builder profile to json file store in the folder <strong>""var/cache/vespagebuilder/""</strong>","Allow auto backup page builder profile to json file store in the folder <strong>""var/cache/vespagebuilder/""</strong>"
"Live CSS Editor","Live CSS Editor"
"General Settings (Live Css)","General Settings (Live Css)"
"Enabled Live Css Tool","Enabled Live Css Tool"
"Enable/Disable Live CSS Tool On Frontend (only admin user can save the css profile)","Enable/Disable Live CSS Tool On Frontend (only admin user can save the css profile)"
"Select default live css profile","Select default live css profile"
"Select default live css profile which allow load setting to change style in the site (there profiles were stored in the folder pub/pagebuilder/livecss/profiles/)","Select default live css profile which allow load setting to change style in the site (there profiles were stored in the folder pub/pagebuilder/livecss/profiles/)"
"Allow Save Css Profile","Allow Save Css Profile"
"Enable/Disable Save Css Customize Profile On Frontend","Enable/Disable Save Css Customize Profile On Frontend"
"Allow Save Css Profile for Admins?","Allow Save Css Profile for Admins?"
"Logged in admins to save css profile on frontend?","Logged in admins to save css profile on frontend?"
"Allowed IPs","Allowed IPs"
"IPs that can save css profile on frontend. Empty to allow all IPs.","IPs that can save css profile on frontend. Empty to allow all IPs."
"Css Profile Folder Path","Css Profile Folder Path"
"Input folder path to folder which stored customize css profiles (folder path should be under pub/ folder). Default: media/pagebuilder/livecss <br/> Or Default: pagebuilder/livecss/customize","Input folder path to folder which stored customize css profiles (folder path should be under pub/ folder). Default: media/pagebuilder/livecss <br/> Or Default: pagebuilder/livecss/customize"
"Pattern Images Folder Path","Pattern Images Folder Path"
"Input folder path to pattern images (folder path should be under pub/ folder). Default: pagebuilder/livecss/images/patterns","Input folder path to pattern images (folder path should be under pub/ folder). Default: pagebuilder/livecss/images/patterns"
"Load Custom Css Profile","Load Custom Css Profile"
"Select a css profile to load on frontend. The profile was created by live css editor tool and was stored in the folder pub/css/","Select a css profile to load on frontend. The profile was created by live css editor tool and was stored in the folder pub/css/"
"Ves Block Builder : Generate Block Builder Profile","Ves Block Builder : Generate Block Builder Profile"
"Generate Block Builder Profile","Generate Block Builder Profile"
"Block Id","Block Id"
"Choose Block Builder Item","Choose Block Builder Item"
"Block Builder Code","Block Builder Code"
"Input the shortcode of block builder","Input the shortcode of block builder"
"Show Title","Show Title"
"Disable Block Wrapper","Disable Block Wrapper"
"Default: <strong>false</strong>. Enable to disable block wrapper for block builder on frontend, it will not show block title, just show generated layout.","Default: <strong>false</strong>. Enable to disable block wrapper for block builder on frontend, it will not show block title, just show generated layout."
"Block Template","Block Template"
"Input custom module template file path. For example: widget/blockbuilder/default.phtml Empty for default","Input custom module template file path. For example: widget/blockbuilder/default.phtml Empty for default"
"Ves Page Builder : Generate Page Builder Profile","Ves Page Builder : Generate Page Builder Profile"
"Generate a page builder profile","Generate a page builder profile"
"Page Id","Page Id"
"Choose Page Builder Item","Choose Page Builder Item"
"Page Builder Code","Page Builder Code"
"Input the shortcode of page builder profile","Input the shortcode of page builder profile"
"Page Builder Template","Page Builder Template"
"Input custom module template file path. For example: widget/pagebuilder/default.phtml Empty for default","Input custom module template file path. For example: widget/pagebuilder/default.phtml Empty for default"
"Add New Profile","Add New Profile"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Disable,Disable
Enable,Enable
"Block Code","Block Code"
"Block Shortcode","Block Shortcode"
"Date Show From","Date Show From"
"Date Show To","Date Show To"
"Created Date","Created Date"
"Modified Date","Modified Date"
"1 Column Full Width","1 Column Full Width"
